mean,bias,CI,miss_percent,std,accuracy_a,accuracy_b
0.09548440886699508,-0.000875872328084018,"(0.09416480578597614, 0.09680401194801402)",0.28646748681898065,0.01352565978474477,0.9098360655737705,0.9239766081871345
0.09602953964194373,-0.00033074155313536635,"(0.09463802329115877, 0.0974210559927287)",0.31282952548330406,0.013995188341376617,0.8983050847457628,0.9298245614035088
0.09585181818181818,-0.0005084630132609208,"(0.09455966942232759, 0.09714396694130877)",0.2460456942003515,0.013616429018279926,0.9534883720930233,0.9239766081871345
0.09549969072164949,-0.0008605904734296094,"(0.09411912376814877, 0.09688025767515021)",0.3181019332161687,0.013831360834703092,0.9230769230769231,0.9239766081871345
0.09554658163265307,-0.0008136995624260235,"(0.09413095241715128, 0.09696221084815487)",0.3110720562390158,0.014256012346695155,0.9576271186440678,0.9181286549707602
0.0956302557544757,-0.0007300254406033962,"(0.09435829668825658, 0.09690221482069482)",0.31282952548330406,0.01279273986555481,0.9491525423728814,0.9181286549707602
0.09638865284974094,2.8371654661837886e-05,"(0.0949800766545564, 0.09779722904492547)",0.3216168717047452,0.014075327045124942,0.9568965517241379,0.9239766081871345
0.09554027848101267,-0.0008200027140664312,"(0.09422835840675912, 0.09685219855526621)",0.30579964850615116,0.013262387243799096,0.9159663865546218,0.9239766081871345
0.09558834158415841,-0.0007719396109206883,"(0.09421006628739999, 0.09696661688091683)",0.28998242530755713,0.014091989681139895,0.9180327868852459,0.9181286549707602
0.09600002444987775,-0.0003602567452013483,"(0.09460463182058731, 0.09739541707916818)",0.281195079086116,0.014355547853219235,0.9186991869918699,0.9298245614035088
0.09571475490196078,-0.0006455262931183148,"(0.09438676271836671, 0.09704274708555485)",0.28295254833040423,0.013645332362074391,0.8943089430894309,0.9064327485380117
0.095780125,-0.000580156195079104,"(0.0943870918114918, 0.09717315818850819)",0.29701230228471004,0.014171767098393297,0.9166666666666666,0.9181286549707602
0.09587848717948719,-0.0004817940155919104,"(0.09449861541011957, 0.0972583589488548)",0.3145869947275923,0.013860203688676763,0.9487179487179487,0.9239766081871345
0.09591763092269326,-0.00044265027238583887,"(0.09462520317527846, 0.09721005867010805)",0.29525483304042177,0.013164801351461457,0.9421487603305785,0.9181286549707602
0.0956448711340206,-0.0007154100610584913,"(0.09424621809523745, 0.09704352417280376)",0.3181019332161687,0.014012558255801813,0.8717948717948718,0.9239766081871345
0.0968499487179487,0.0004896675228696079,"(0.0954368458995331, 0.09826305153636432)",0.3145869947275923,0.01419399492842701,0.9487179487179487,0.9239766081871345
0.09574726098191214,-0.0006130202131669621,"(0.09437507035254727, 0.097119451611277)",0.31985940246045697,0.013729602930289783,0.9487179487179487,0.9298245614035088
0.09554274559193955,-0.0008175356031395464,"(0.09423059554371496, 0.09685489564016414)",0.3022847100175747,0.013298458168709299,0.975,0.935672514619883
0.09625012594458439,-0.00011015525049470898,"(0.0948331614228626, 0.09766709046630617)",0.3022847100175747,0.014360738273918119,0.9,0.9298245614035088
0.09526425587467363,-0.0010960253204054665,"(0.09381127036365167, 0.0967172413856956)",0.3268892794376098,0.014462201660407518,0.9739130434782609,0.9298245614035088
0.09574777777777778,-0.0006125034173013189,"(0.09438080207352745, 0.09711475348202811)",0.28822495606326887,0.01399384976295368,0.9426229508196722,0.9239766081871345
0.09574591478696742,-0.0006143664081116745,"(0.0944263494165642, 0.09706548015737064)",0.29876977152899825,0.01340746231886991,0.9666666666666667,0.9473684210526315
0.09552549618320612,-0.0008347850118729794,"(0.09412836501766692, 0.09692262734874532)",0.3093145869947276,0.014087775034731161,0.9152542372881356,0.9239766081871345
0.09545479487179487,-0.0009054863232842297,"(0.09407735480359973, 0.09683223493999)",0.3145869947275923,0.013835778322270384,0.9829059829059829,0.9239766081871345
0.09594684210526316,-0.000413439089815934,"(0.09455175391066416, 0.09734193029986217)",0.3321616871704745,0.013831085902088099,0.9122807017543859,0.9239766081871345
0.09607613138686132,-0.0002841498082177818,"(0.0947225895300166, 0.09742967324370604)",0.27768014059753954,0.013959202153182934,0.9516129032258065,0.9298245614035088
0.09556158690176322,-0.0007986942933158742,"(0.09417935551728666, 0.09694381828623978)",0.3022847100175747,0.014008722760640045,0.9333333333333333,0.9298245614035088
0.09546397530864197,-0.000896305886437132,"(0.09405532131867671, 0.09687262929860722)",0.28822495606326887,0.014420514016647927,0.9180327868852459,0.9298245614035088
0.0963565099009901,-3.7712940890027857e-06,"(0.09493076711740839, 0.0977822526845718)",0.28998242530755713,0.014577314591247918,0.9426229508196722,0.9239766081871345
0.09629425974025974,-6.602145481936217e-05,"(0.09488301278591751, 0.09770550669460196)",0.3233743409490334,0.014083620492698576,0.896551724137931,0.935672514619883
0.09554778048780488,-0.0008125007072742191,"(0.0941832753027981, 0.09691228567281165)",0.27943760984182775,0.01405503625772539,0.9186991869918699,0.9181286549707602
0.09548127226463105,-0.0008790089304480525,"(0.0941160045318615, 0.09684653999740059)",0.3093145869947276,0.013766484604909614,0.8898305084745762,0.9239766081871345
0.09543575,-0.000924531195079098,"(0.09402831484667214, 0.09684318515332786)",0.29701230228471004,0.014318282840349278,0.95,0.9239766081871345
0.0954227435897436,-0.0009375376053354922,"(0.09406382108974715, 0.09678166608974006)",0.3145869947275923,0.013649777512086325,0.8803418803418803,0.9239766081871345
0.0960407334963325,-0.0003195476987465917,"(0.0947561134903287, 0.09732535350233631)",0.281195079086116,0.01321593907140525,0.9186991869918699,0.935672514619883
0.09540336734693877,-0.0009569138481403255,"(0.09405711395390653, 0.09674962073997101)",0.3110720562390158,0.013557367128824613,0.9152542372881356,0.9532163742690059
0.09589227383863079,-0.0004680073564483078,"(0.09454124754315187, 0.09724330013410971)",0.281195079086116,0.01389911500791543,0.9186991869918699,0.9298245614035088
0.09616984848484847,-0.00019043271023062858,"(0.09481602367515143, 0.0975236732945455)",0.30404217926186294,0.013703428194462235,0.9243697478991597,0.9181286549707602
